trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,True,"{'a': 0.75, 'e': -0.014000000000000137}",20,0,23.631164238884097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.75, 'e': -0.015000000000000138}",25,0,39.40924300909711,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.75, 'e': -0.01600000000000014}",30,7,36.878372497629364,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.75, 'e': -0.01700000000000014}",20,0,25.2924369641257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.75, 'e': -0.01800000000000014}",25,17,16.777619710511352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.75, 'e': -0.019000000000000142}",20,0,27.49708148305674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.75, 'e': -0.020000000000000143}",20,0,30.989805966808806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.75, 'e': -0.021000000000000144}",25,0,35.50511208479087,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.75, 'e': -0.022000000000000144}",25,0,36.83024296458619,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.75, 'e': -0.023000000000000145}",25,8,28.12291109575398,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.75, 'e': -0.024000000000000146}",20,0,28.841642712623067,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.75, 'e': -0.025000000000000147}",20,0,23.162384031423283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.75, 'e': -0.026000000000000148}",30,0,47.92961563468588,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0.75, 'e': -0.02700000000000015}",30,0,43.28383427033128,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0.75, 'e': -0.02800000000000015}",25,10,25.297615226234615,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.75, 'e': -0.02900000000000015}",25,0,29.997411611135895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0.75, 'e': -0.03000000000000015}",20,0,25.535542165720695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.75, 'e': -0.031000000000000152}",20,0,29.172128506963706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0.75, 'e': -0.03200000000000015}",20,10,17.799887454331802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.75, 'e': -0.033000000000000154}",30,0,48.396331061989066,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.75, 'e': -0.034000000000000155}",20,0,30.420377099025643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0.75, 'e': -0.035000000000000156}",25,0,35.96267987046038,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
